AlbumId,AlbumName,AlbumReleaseDate,GenreId,ArtistId,AlbumPopularity,TotalTracks
5Lz0R07a6My7xNAKOuzeNY,Anjo da guarda,1983-01-01,4wuaLybXodnM3oL8ij1Mq1,5fgtcrHICBqlrkHtSWWu0F,45,10
24WAUPqhxqUbdbcRDHQ8Yr,The Essential Eddie Money,1977-01-01,22CIOfLZB9z8He7WgHYAgH,4Tw2N3wdvJPGEU7JqMxFfE,37,1
37LUBeVwoGFQOvBhRPNV13,The Best Of Dire Straits & Mark Knopfler - Private Investigations,2005-01-01,6kO5VVgGb9jEZM9cKXoOqc,0FI0kxP0BWurTz8cB8BBug,59,10
6lPb7Eoon6QPbscWbMsk6a,Surrealistic Pillow,1967-01-01,4uGIJG1jYFonGc4LGp5uQL,2qFr8w5sWUITRlzZ9kZotF,71,2
7gPql7GFpBMOxeO80vMMsC,Three Imaginary Boys,1979-05-11,4dneV7C1yDt9UtyxrQY375,7bu3H8JO7d0UbMoVzbo70s,75,16
72qrnM4yUNMDDlWiqKc8iY,Aftermath,1966-04-15,63T7DJ1AFDD6Bn8VzG6JE8,22bE4uQ6baNwSHPVcDxLCe,78,1
1KVGLuPtrMrLlyy4Je6df7,Bleach,1989-06-01,2SHTKB8YYlawTGIuJ2b2ok,6olE6TJLqED3rqDCT0FyPh,76,3
2guirTSEqLizK7j9i1MTTZ,Nevermind (Remastered),1991-09-26,651koV4RRMMX6NDbW1ElwP,6olE6TJLqED3rqDCT0FyPh,84,11
6ICrBzsbHVluGHP8wGK4Y3,Incesticide,1992-12-14,0Pie5DFAHHxpkONFUsAI6s,6olE6TJLqED3rqDCT0FyPh,69,15
6ICrBzsbHVluGHP8wGK4Y3,Incesticide,1992-12-14,4IryVI254hGj0J8ND5r8gZ,6olE6TJLqED3rqDCT0FyPh,69,3
1KVGLuPtrMrLlyy4Je6df7,Bleach,1989-06-01,5muVpPu8Fj9fXfDbbqDdrZ,6olE6TJLqED3rqDCT0FyPh,76,5
1To7kv722A8SpZF789MZy7,MTV Unplugged In New York,1994-11-01,4UJmPSJsBsIR1U0N79BU1g,6olE6TJLqED3rqDCT0FyPh,78,12
6ohX7moZZnF1FwYrli1OJ6,In Utero,1993-09-21,1Ic9pKxGSJGM0LKeqf6lGe,6olE6TJLqED3rqDCT0FyPh,77,12
1WJ3UbOi2QYGuRgXCc9FIV,Jeremy,1991-01-01,3bE5slaVEfaDreqARl6k4M,1w5Kfo2jwwIPruYS2UWh56,64,3
5PdgIAHzwDvTZRjIGSQGtN,Unplugged,1996-07-29,7etojJg0JsetC3fSVpU3tX,64tNsm6TnZe2zpcMVMOoHL,64,10
7ndqT6LH9o6YQ5uA7aT0St,Best of Volume 1,1996-09-24,3KhF2YiNpJvGpfiCW45R6D,2cnMpRsOVqtPMfq7YiFE6K,62,3
5rFRfDq52l2l5RtS5kxA9A,I Got Dem Ol' Kozmic Blues Again Mama!,1969-09-11,5Icqjqizh8TnwHdejZQQGQ,4NgfOZCL9Ml67xzM0xzIvC,61,1
3j7nicLAWXM0Fb08q9XGyf,Pearl (Legacy Edition),1971-01-11,3dOfHE5J4Qsj1hJ35vnfn4,4NgfOZCL9Ml67xzM0xzIvC,69,10
0E5IKYhiKgbYQkmfsFonbZ,America,1972-01-01,54eZmuggBFJbV7k248bTTt,3vAaWhdBR38Q02ohXqaNHT,76,5
50o7kf2wLwVmOTVYJOTplm,Rubber Soul (Remastered),1965-12-03,1H7gMYGykdtwZOV6s1N0by,3WrFJ7ztbogyGnTHbHJFl2,78,2
15XNBzVWARPMlu0sEbfBjJ,Tattoo You (2009 Re-Mastered),1981-08-24,7HKez549fwJQDzx3zLjHKC,22bE4uQ6baNwSHPVcDxLCe,75,1
76oMr4Y2pOtcrvZLc2ZikF,If You Can Believe Your Eyes & Ears,1966-03-01,4s6LhHAV5SEsOV0lC2tjvJ,1bs7HoMkSyQwcobCpE9KpN,76,7
1J3CtRxcG9Tkuw2xQ59NEk,Start Walkin' 1965-1976,2021-02-05,2HEgBBls7l0smWTxPx0MtZ,3IZrrNonYELubLPJmqOci2,65,2
7gvxyetkX6vkoMyDkDM6ls,True Genius,2021-09-10,5dUMh0ugelpKfoFp3qChuK,1eYhYunlNJlDoQhtYBvPsi,71,8
